id_bh,label
113118886,2
2521527855,2
2421701111,2
2620332660,2
2905004143,6
2196038446,6
111081735,2
7412223916,2
3007005873,3
128052572,4
4297011154,5
2612210269,6
4019202467,2
6823207732,6
2613004437,4
4204000879,4
2196011479,6
1501001813,6
8406005928,6
116199377,2
113029764,2
2422472943,2
7015019272,4
1921110264,2
2220027919,4
7510076007,6
2209010482,2
8404004932,4
2615113969,2
2616115839,2
2415006422,3
3016699543,2
1920479963,3
8302001208,6
2608007075,4
2615009773,2
2414014094,2
4026151173,2
2616128998,4
9105030033,4
7911129676,5
106023500,6
7512021866,4
2520530597,2
7516022307,6
6823182487,6
1915814568,4
1697002260,5
1597020961,6
111087053,4
4023123210,4
2616149051,2
2902008843,4
128169989,5
8307012075,4
2410029491,4
7016015725,6
2422203066,2
116319497,4
2413003111,2
7413023433,4
7513074612,4
207325502,2
6609015169,2
5107014271,4
110178581,6
4010021067,3
110178395,2
2616119584,2
107075298,4
2609004307,4
7509062660,4
2008002980,6
115144683,5
2412027430,4
110070642,2
8407001436,5
124011688,2
108051587,2
2415012230,3
1720783850,2
104041930,2
1915003675,2
8401000424,4
6812000242,2
2020008244,4
2422443153,5
8399004066,5
2616119795,2
4016473001,2
1503000074,2
7409126560,4
6822396903,6
8405005453,2
8407009258,3
2614106999,5
2611006104,2
2221858556,2
129815988,4
2608000588,4
8407001927,3
7410268205,6
120422663,5
7916212562,2
131076833,2
1916832012,2
8405001462,3
3010017843,4
112106744,2
4016121657,2
1916908289,2
7508205021,6
2521767433,4
7413068028,4
2608009469,3
7515033487,4
1921680915,5
2614031369,3
198114704,2
2411021268,2
2613009157,4
110085301,2
8304001516,5
8401000357,5
7916502950,2
8407005508,2
4012015191,3
2621501072,2
3314015384,4
4018645884,3
4014009606,3
2409000468,4
2612203426,6
125481420,2
197030327,5
2615110600,2
7915225894,2
1711004891,4
8404001632,3
2611012192,4
6816009149,2
7514015320,4
4025506250,2
5107012240,4
4019225277,3
2012003747,4
2711001625,4
1911010799,3
8407003231,6
8405000076,3
7909009175,1
2713067340,4
4017571089,3
113132927,2
2608004228,2
116067872,2
8399002460,6
2410017214,4
8404002930,6
2212019060,2
2905004556,4
206079887,2
2620411166,2
206312821,4
4014023189,2
8398003521,5
2422194615,3
7513168059,2
7416004254,2
4008011952,4
107008065,5
4203001180,6
2900000484,4
2408002257,2
2416069805,3
2414013874,3
203223985,4
2610004052,2
2414017760,3
4103005683,2
6608010183,2
2610019034,2
9216020469,5
7410250312,4
4205004307,4
4026142739,2
1920912965,2
116371345,2
8105001187,2
2906013006,4
2412006201,4
2413031007,3
2620047725,2
